Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
70,46.52,4,tanh,1024,1.813533433973955e-05,64,2.6381367049177382e-05,0.4228023677850904,301.58
71,52.54,2,elu,512,0.0007773542639807759,128,1.2292208277230642e-05,0.43100342978688,91.74
72,55.04,3,selu,1024,6.843285427824133e-05,128,9.182018127340645e-05,0.13173559646204225,125.55
73,47.9,1,selu,1536,2.4193005803970176e-05,96,0.0006679634588051778,0.1260877370807812,226.75
74,54.08,4,selu,512,0.00012698429277038515,128,1.6114861285712528e-05,0.31590744039492036,119.69
75,20.990000000000002,3,relu,512,0.002842447574065722,128,2.810487313591135e-05,0.4877078139547698,46.31
76,42.83,3,elu,512,5.4186042374367096e-05,128,0.008037006954332343,0.32469209266769866,101.64
77,55.559999999999995,4,selu,1024,5.990748244709301e-05,96,2.8862304141280675e-05,0.22516476639255975,182.9
78,51.21,4,gelu,1024,0.0002713732396378577,96,0.0002745985434337423,0.41075421252170974,117.34
79,51.31,4,relu,1536,8.832282965036058e-05,128,0.0028270256962446617,0.45943745916823986,215.92
80,52.03,4,selu,1024,0.00030366059134465437,128,0.00030035715467234276,0.24313239340189946,106.78
81,51.73,1,gelu,512,1.0333343694443095e-05,64,6.981120127575474e-05,0.10661259203410078,258.3
82,34.599999999999994,1,gelu,1536,0.0017129396140528803,64,8.28582179874997e-05,0.4889241879397731,45.95
83,20.06,4,relu,512,0.005869794848204807,128,0.00126612253167981,0.27853892975839245,35.78
84,46.050000000000004,1,selu,512,7.101050357040024e-05,96,0.003753531996499504,0.142799122140818,113.79
85,50.370000000000005,2,elu,1536,0.0009371916344635056,64,1.5394023191968164e-05,0.21664905273763868,134.94
86,53.42,4,gelu,1536,2.8232916981202437e-05,64,0.001418348076889832,0.3664381743863242,550.73
87,31.14,2,selu,1536,0.0020585915733293005,128,0.00039741478941784746,0.4699851694076481,33.94
88,38.12,1,tanh,1024,0.0008349842366934422,64,0.0008709090701065338,0.4326718825386199,107.11
89,55.22,3,gelu,1024,0.00024135859563422047,64,0.00019091850003287726,0.2282389126627704,133.28
